,https://roic.ai/company/KIM,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,8500000,35800000,54500000,63700000,78100000,100893602,115889159,173613582,244194000,276154000,330123000,335246000,395431000,396090000,471240000,568639000,589610000,672553000,397091000,620308000,664762000,760349000,742567000,923291000,1517763000,999264000,977962000,993114000,862562000,1477670000,1446892000
16,EBITDA ratio,0.1703,0.4334,0.5103,0.4889,0.5214,0.6000,0.5826,0.5124,0.5628,0.6011,0.7045,0.7436,0.8244,0.7662,0.9018,0.9575,0.8651,0.8864,0.4703,0.6901,0.7255,0.8244,0.7844,0.9290,1.3008,0.8535,0.8144,0.8526,0.7443,1.3968,1.0603
17,Operating Income,96400000,139300000,170200000,210800000,213100000,98185019,115463176,196163287,254650000,276311000,276001000,352682000,353169000,383698000,384570000,432401000,202306000,542634000,219966000,294751000,287896000,257510000,225502000,310315000,343572000,300823000,337479000,582406000,477587000,332612000,424286000
18,Operating Income ratio,1.9319,1.6864,1.5936,1.6178,1.4226,0.5839,0.5804,0.5790,0.5869,0.6015,0.5890,0.7823,0.7363,0.7422,0.7360,0.7281,0.2968,0.7152,0.2605,0.3279,0.3142,0.2792,0.2382,0.3122,0.2945,0.2569,0.2810,0.5000,0.4121,0.3144,0.3109
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,4764062,6023813,4416973,9843000,19911000,-20087000,-91208000,-152280000,-157301000,-198653000,-268202000,-124272000,-414870000,-260811000,-205153000,-207455000,-223441000,-190835000,-208208000,-174656000,-232798000,-191150000,-183060000,-165581000,595262000,320840000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255914000,261474000,200889000,226397000,185917000,164199000,78034000,127764000,-40845000,89598000,80441000,34069000,34667000,102107000,168916000,68025000,146329000,399346000,312006000,927874000,745126000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5461,0.5800,0.4188,0.4379,0.3558,0.2765,0.1145,0.1684,-0.0484,0.0997,0.0878,0.0369,0.0366,0.1027,0.1448,0.0581,0.1219,0.3429,0.2692,0.8771,0.5460
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19376000,12904000,-1516000,-3919000,-430000,-4387000,-44490000,3542000,-36622000,3415000,19537000,3939000,34520000,22438000,60230000,72545000,-880000,1600000,-3317000,978000,3380000
23,Net Income,-2200000,19000000,34600000,40300000,51900000,73826893,85836445,122265970,176778000,205025000,236538000,245668000,307879000,297137000,363628000,428259000,442830000,249902000,-3942000,142868000,169051000,266073000,236281000,424001000,894115000,378850000,426075000,497795000,410605000,1000833000,844059000
24,Net Income ratio,-0.0441,0.2300,0.3240,0.3093,0.3465,0.4391,0.4315,0.3609,0.4074,0.4463,0.5048,0.5449,0.6419,0.5748,0.6959,0.7211,0.6497,0.3294,-0.0047,0.1589,0.1845,0.2885,0.2496,0.4266,0.7663,0.3236,0.3548,0.4274,0.3543,0.9461,0.6185
25,EPS,-0.06,0.28,0.38,0.38,0.44,0.54,0.60,0.65,0.83,0.96,1.10,1.09,1.33,1.28,1.55,1.74,1.68,0.79,-0.15,0.22,0.27,0.42,0.43,0.89,2.01,0.79,0.87,1.02,0.80,2.26,1.61
26,EPS Diluted,-0.06,0.28,0.38,0.38,0.44,0.54,0.59,0.64,0.82,0.95,1.08,1.08,1.31,1.25,1.52,1.70,1.65,-1.22,-0.15,0.22,0.27,0.42,0.43,0.89,2.00,0.79,0.87,1.02,0.80,2.25,1.60
27,Weighted Average Shares Outstanding,61049476,68640379,90215762,105999632,101142428,107501400,112331242,150172497,181084337,185498616,192713636,208468807,213799251,223046094,226641000,239552000,252129000,257811000,350077000,405827000,406530000,405997000,407631000,409088000,411319000,418402000,423614000,420641000,420370000,429950000,506248000
28,Weighted Average Shares Outstanding Diluted,61049476,68640379,90215762,105999632,101142428,136570370,113593390,151728689,183292683,187444406,196282407,210399074,217879389,227489243,230868000,244615000,257058000,257811000,350077000,406201000,407669000,406689000,408614000,411038000,412851000,419709000,424019000,421379000,421799000,431633000,511385000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879101/000112528205001161/b405066_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000112528206001456/b412114_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000095012307002925/y30877e10vk.htm,https://www.sec.gov/Archives/edgar/data/879101/000139843208000075/kimco_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000139843209000090/0001398432-09-000090-index.html,https://www.sec.gov/Archives/edgar/data/879101/000139843210000145/0001398432-10-000145-index.html,https://www.sec.gov/Archives/edgar/data/879101/000139843211000206/i11038.htm,https://www.sec.gov/Archives/edgar/data/879101/000139843212000184/0001398432-12-000184-index.html,https://www.sec.gov/Archives/edgar/data/879101/000139843213000115/0001398432-13-000115-index.html,https://www.sec.gov/Archives/edgar/data/879101/000139843214000081/kim20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000139843215000073/kim20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000143774916026173/0001437749-16-026173-index.html,https://www.sec.gov/Archives/edgar/data/879101/000143774917003269/0001437749-17-003269-index.html,https://www.sec.gov/Archives/edgar/data/879101/000143774918003230/0001437749-18-003230-index.html,https://www.sec.gov/Archives/edgar/data/879101/000143774919002746/0001437749-19-002746-index.html,https://www.sec.gov/Archives/edgar/data/879101/000143774920003500/0001437749-20-003500-index.htm,https://www.sec.gov/Archives/edgar/data/879101/000143774921003766/0001437749-21-003766-index.htm,https://www.sec.gov/Archives/edgar/data/879101/000143774922004700/0001437749-22-004700-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,37425206,30978178,43920544,28076000,19097000,93847000,35962000,48288000,38220000,76273000,345065000,87499000,136177000,122058000,125154000,112882000,141875000,148768000,187322000,189534000,142486000,238513000,143581000,123947000,293188000,334663000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82997000,66992000,45677000,123771000,206452000,202659000,212988000,258174000,209593000,223991000,33540000,36541000,62766000,90235000,7565000,8101000,13265000,10302000,- -,706954000,1211739000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,37425206,30978178,43920544,28076000,19097000,176844000,102954000,93965000,161991000,282725000,547724000,300487000,394351000,331651000,349145000,146422000,178416000,211534000,277557000,197099000,150587000,251778000,153883000,123947000,1000142000,1546402000
34,Net Receivables,- -,- -,- -,- -,- -,13520048,16203454,31820940,31689000,44673000,48074000,149036000,152099000,192899000,197004000,246087000,241864000,97702000,113610000,130536000,149807000,231817000,194569000,246399000,199076000,205020000,211595000,198976000,218689000,219248000,254677000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336144000,389550000,147048000,155246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,828197000,834811000,626729000,451475000,410233000,406103000,523956000,396175000,355607000,463373000,352859000,342636000,1219390000,1801079000
38,PP&E,- -,- -,- -,- -,- -,891503339,1196788068,2767952062,2627312000,2719762000,2748486000,2882413000,3568509000,3457580000,3820279000,5194649000,6347591000,6659252000,7539193000,7043380000,7084895000,- -,- -,- -,- -,- -,- -,- -,99125000,102369000,147458000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,512214000,600479000,783711000,1018683000,1519649000,1861933000,1727706000,1656869000,1801313000,1748345000,1428155000,1257010000,1037218000,742559000,504209000,483861000,570922000,578118000,590694000,1006899000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181992000,131332000,362453000,329801000,7902419000,8000517000,8724554000,10205437000,10370784000,10816492000,10075319000,9977988000,9702045000,15503763000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8568950000,9327394000,9207146000,9163041000,9330574000,9257527000,9761772000,10947996000,10874993000,11300353000,10646241000,10655231000,10395108000,16658120000
46,Other Assets,- -,- -,- -,- -,- -,1022566471,1343890124,3051178421,3007476000,3171348000,3384779000,3756878000,4603925000,4749597000,5534636000,7869280000,9097816000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,1022566471,1343890124,3051178421,3007476000,3171348000,3384779000,3756878000,4603925000,4749597000,5534636000,7869280000,9097816000,9397147000,10162205000,9833875000,9614516000,9740807000,9663630000,10285728000,11344171000,11230600000,11763726000,10999100000,10997867000,11614498000,18459199000
48,Accounts Payable,- -,- -,- -,- -,- -,76388825,155652317,500490231,277275000,309437000,361152000,369516000,560937000,607649000,585228000,1002566000,1246176000,151241000,142116000,184735000,190300000,111881000,124290000,129509000,150059000,145751000,185702000,174903000,170082000,146457000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,-24388825,-86652317,-324490231,-125275000,-168437000,-194152000,-96516000,-247937000,-213649000,-129228000,-87566000,-259176000,368674000,367424000,89037000,92159000,96518000,104496000,111143000,115182000,124517000,128892000,130262000,126274000,5366000,5366000
53,Total Current Liabilities,- -,- -,- -,- -,- -,52000000,69000000,176000000,152000000,141000000,167000000,273000000,313000000,394000000,456000000,915000000,987000000,519915000,509540000,273772000,282459000,208399000,228786000,240652000,265241000,270268000,314594000,305165000,296356000,151823000,5366000
54,Long-Term Debt,- -,- -,- -,- -,- -,310250000,410250000,855250000,1037250000,1080250000,1035250000,1302250000,1686250000,1608925000,2147405000,2748345000,3131765000,4556646000,4434383000,4028734000,4069257000,4195317000,4221401000,4620298000,5376310000,5066368000,5478927000,4873872000,5315767000,5355480000,7599481000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,54750000,121750000,434750000,212750000,245750000,292750000,274750000,468750000,510075000,543595000,838655000,1084235000,345240000,100304000,275023000,287583000,404611000,443917000,523013000,520669000,491090000,448058000,409010000,456837000,436941000,730690000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,365000000,532000000,1290000000,1250000000,1326000000,1328000000,1577000000,2155000000,2119000000,2691000000,3587000000,4216000000,4901886000,4534687000,4303757000,4356840000,4599928000,4665318000,5143311000,5896979000,5557458000,5926985000,5282882000,5772604000,5792421000,8330171000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92711000,96619000,123779000
61,Total Liabilities,- -,- -,- -,- -,- -,412602512,596038979,1453204299,1388912000,1449296000,1486320000,1755610000,2368162000,2406306000,3024578000,4077079000,4755083000,5421801000,5044227000,4577529000,4639299000,4808327000,4894104000,5383963000,6162220000,5827726000,6241579000,5588047000,6068960000,5944244000,8335537000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,700000,700000,700000,700000,884000,884000,884000,954000,954000,102000,102000,102000,32000,32000,41000,43000,20000,20000,20000
63,Common Stock,- -,- -,- -,- -,- -,362151,403948,601337,608000,631000,1034000,1046000,1106000,1124000,2281000,2509000,2528000,2711000,4055000,4064000,4069000,4078000,4097000,4118000,4134000,4250000,4256000,4214000,4318000,4325000,6167000
64,Retained Earnings,- -,- -,- -,- -,- -,-115093138,-115642791,-124183281,-122959000,-113110000,-93131000,-85367000,-30112000,-3749000,59855000,140509000,180005000,-58162000,-338738000,-515164000,-702999000,-824008000,-996058000,-1006578000,-572335000,-676867000,-761337000,-787707000,-904679000,-162812000,299115000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-180552647,-207408091,-255949923,-323738000,-391946000,-452878000,7401000,16866000,37781000,69046000,45225000,33648000,-187893000,-96432000,-23853000,-107660000,-66182000,-64982000,45122000,5588000,5766000,-1480000,- -,- -,- -,2216000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,905247593,1070498079,1977505989,2064653000,2226477000,2443434000,1983348000,2147286000,2200544000,2255332000,3178016000,3677509000,4217806000,5283204000,5469841000,5492022000,5651170000,5689258000,5732021000,5608881000,5922958000,6152764000,6117254000,5765233000,5766511000,9591871000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,609963959,747851145,1597974122,1618564000,1722052000,1898459000,1907328000,2135846000,2236400000,2387214000,3366959000,3894574000,3975346000,4852973000,4935842000,4686386000,4765160000,4632417000,4774785000,5046300000,5256139000,5394244000,5333804000,4864892000,5608044000,9899389000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,1022566471,1343890124,3051178421,3007476000,3171348000,3384779000,3662938000,4504008000,4642706000,5411792000,7444038000,8649657000,9397147000,9897200000,9513371000,9325685000,9573487000,9526521000,10158748000,11208520000,11083865000,11635823000,10921851000,10933852000,11552288000,18234926000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93940000,99917000,106891000,122844000,425242000,448159000,- -,265005000,320504000,288831000,167320000,137109000,126980000,135651000,146735000,127903000,77249000,64015000,62210000,224273000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,1022566471,1343890124,3051178421,3007476000,3171348000,3384779000,3756878000,4603925000,4749597000,5534636000,7869280000,9097816000,9397147000,10162205000,9833875000,9614516000,9740807000,9663630000,10285728000,11344171000,11230600000,11763726000,10999100000,10997867000,11614498000,18459199000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879101/000112528205001161/b405066_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000112528206001456/b412114_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000095012307002925/y30877e10vk.htm,https://www.sec.gov/Archives/edgar/data/879101/000139843208000075/kimco_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000139843209000090/0001398432-09-000090-index.html,https://www.sec.gov/Archives/edgar/data/879101/000139843210000145/0001398432-10-000145-index.html,https://www.sec.gov/Archives/edgar/data/879101/000139843211000206/i11038.htm,https://www.sec.gov/Archives/edgar/data/879101/000139843212000184/0001398432-12-000184-index.html,https://www.sec.gov/Archives/edgar/data/879101/000139843213000115/0001398432-13-000115-index.html,https://www.sec.gov/Archives/edgar/data/879101/000139843214000081/kim20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000139843215000073/kim20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/879101/000143774916026173/0001437749-16-026173-index.html,https://www.sec.gov/Archives/edgar/data/879101/000143774917003269/0001437749-17-003269-index.html,https://www.sec.gov/Archives/edgar/data/879101/000143774918003230/0001437749-18-003230-index.html,https://www.sec.gov/Archives/edgar/data/879101/000143774919002746/0001437749-19-002746-index.html,https://www.sec.gov/Archives/edgar/data/879101/000143774920003500/0001437749-20-003500-index.htm,https://www.sec.gov/Archives/edgar/data/879101/000143774921003766/0001437749-21-003766-index.htm,https://www.sec.gov/Archives/edgar/data/879101/000143774922004700/0001437749-22-004700-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2200000,19000000,34600000,40300000,51900000,73826893,85836445,122265970,176778000,205025000,236538000,245668000,307879000,297137000,363628000,428259000,442830000,249902000,-3942000,142868000,169051000,266073000,236281000,424001000,894115000,378850000,426075000,497795000,410605000,1000833000,844059000
74,Depreciation and Amortization,10700000,16800000,19900000,23400000,26200000,27066709,30052714,51347612,67416000,71129000,74209000,76674000,89068000,102872000,108042000,144767000,191270000,206518000,227776000,247637000,251139000,262742000,257855000,273093000,344527000,355320000,360811000,310380000,277879000,288955000,395320000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55068000,807000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17879000,18465000,19071000,21563000,18221000,20200000,23685000,- -
77,Change in Working Capital,-6800000,- -,- -,- -,- -,-52000000,-17000000,-107000000,24000000,11000000,-26000000,-106000000,-40000000,-81000000,-62000000,-459000000,-72000000,1295282000,16989000,27686000,-183941000,32818000,-24517000,105987000,-152370000,-45595000,63440000,-101085000,-1414000,1021287000,-6745936000
78,Accounts Receivable,-1500000,-1500000,1800000,-6900000,-900000,2600000,-2200000,-11400000,-2800000,-12806000,-1956000,-6938000,-596000,-1742000,-12156000,-17778000,-4876000,- -,- -,- -,- -,2940000,7213000,-8060000,-2867000,-6571000,-7934000,5229000,-34160000,- -,-18079000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1900000,-2100000,1600000,5100000,1200000,2700000,12300000,-6600000,1200000,-1176000,3607000,27769000,-2545000,2850000,10606000,38619000,1361000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104712000
81,Other Working Capital,- -,- -,- -,- -,- -,-52000000,-69000000,-176000000,-152000000,-141000000,-167000000,-273000000,-313000000,-394000000,-456000000,-915000000,-987000000,308282000,325271000,352957000,169016000,201834000,177317000,283304000,130934000,85339000,148779000,47694000,46280000,1067567000,-5678369000
82,Other Non-Cash Items,5200000,-9200000,400000,-800000,-3900000,52998209,26218482,92092287,-31041000,-36608000,2697000,62589000,-48315000,46167000,1127000,341543000,103889000,-1184103000,162759000,61744000,212364000,-82579000,100416000,-191617000,-611036000,-170618000,-258515000,-87375000,-123642000,-1744847000,6125432000
83,Cash Provided by Operating Activities,6900000,26600000,54900000,62900000,74200000,101891811,125107641,158705869,237153000,250546000,287444000,278931000,308632000,365176000,410797000,455569000,665989000,567599000,403582000,479935000,448613000,479054000,570035000,629343000,493701000,592096000,614181000,637936000,583628000,589913000,618875000
84,CAPEX,-11300000,-21600000,-123500000,-133700000,-105100000,-140916684,-265850604,-607293050,-289288000,-158515000,-170767000,-353978000,-1105280000,-556000000,-884236000,-1166084000,-1718136000,-655189000,-517784000,-224457000,-381195000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11419000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32029000,143611000,128745000,91116000,177105000,20548000,-15012000,-5906000,-11383000,-263973000
86,Purchases of Investments,- -,- -,- -,- -,-2500000,-4935008,-25174247,-34787208,-37904000,-82548000,-155183000,-324074000,-241329000,-411070000,-446043000,-837632000,-785577000,-655727000,-134292000,-167114000,-172425000,-924000,-54954000,-11445000,-190535000,-2466000,-9822000,-920000,-2744000,-500000,- -
87,Sales/Maturities of Investments,1300000,- -,- -,- -,- -,- -,- -,- -,11590000,16055000,36427000,66461000,156473000,102967000,177282000,267200000,384423000,266185000,203326000,182900000,359677000,11709000,35581000,3780000,76170000,2437000,3146000,957000,2023000,228201000,377000
88,Other Investing Activites,12900000,- -,3700000,-8500000,-19700000,1825000,10201653,11851736,110383000,33382000,132330000,226355000,547771000,560725000,436982000,1490295000,611679000,263381000,105514000,246575000,173183000,-29756000,-52003000,5625000,44614000,-11693000,-308152000,268620000,-113794000,-249591000,-212663000
89,Cash Used for Investing Activites,2900000,-21600000,-119800000,-142200000,-127300000,-144026692,-280823198,-630228522,-205219000,-191626000,-157193000,-396655000,-642365000,-303378000,-716015000,-246221000,-1507611000,-781350000,-343236000,37904000,-20760000,-51000000,72235000,126705000,21365000,165383000,-294280000,253645000,-120421000,-33273000,-476259000
90,Debt Repayment,-104300000,-17600000,-198100000,-123100000,-30300000,-9567796,-106268255,-353459125,-287331000,-296706000,-64713000,-387721000,-525783000,-743120000,-529828000,-990438000,-768199000,-539758000,-2067473000,-805607000,-360312000,-526022000,-884642000,-816000000,-1434259000,-1955297000,-1269446000,-532954000,-18751000,-1444154000,-229288000
91,Common Stock Issued,115800000,52600000,183100000,800000,122300000,157714972,138097895,282880710,13708000,82180000,157767000,9389000,387327000,51447000,69995000,451809000,485220000,451002000,1064444000,177837000,6537000,796748000,30210000,23874000,18708000,307395000,440946000,33705000,204012000,981000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-65000000,-5100000,-2505000,- -,- -,-225000000,- -,-21024000,- -,- -,- -,-31783000,-80852000,-6003000,-665947000,- -,- -,-175000000,- -,-225000000,-75126000,-575000000,- -,- -
93,Dividends Paid,- -,-22700000,-36900000,-45900000,-53900000,-69751755,-82561111,-113908071,-169708000,-189896000,-209785000,-235602000,-246301000,-265254000,-293345000,-332552000,-384502000,-469024000,-331024000,-306964000,-353764000,-382722000,-400354000,-427873000,-455833000,-474045000,-506172000,-529756000,-531565000,-379874000,-382132000
94,Other Financing Activites,-13500000,-13600000,161300000,205200000,20100000,-15000000,200000000,733951505,400653000,339028000,61230000,673773000,955816000,885061000,1117473000,930625000,1251537000,820209000,1291371000,500843000,273417000,378882000,619409000,502505000,1533530000,1317420000,1335798000,117618000,438463000,1435648000,510279000
